batch,network_type,group,round,median_vote,score_gini,vote_var,vote_mad,vote_kurt
1,repr,101,1,25,0.17307461971493598,894.9565217391306,22.541666666666668,0.3597636065367751
1,repr,101,2,30,0.19706905116741175,1178.1999999999998,27.6875,-0.8718034927179086
1,repr,101,3,30,0.2056191314553992,1834.2435897435896,38.52071005917159,-1.6902496787605483
1,repr,107,1,24,0.17940899680030126,1197.4329710144928,29.364583333333332,-0.8635537521873746
1,repr,107,2,25,0.1880198796756474,1126.3476190476192,27.46485260770975,-0.6533667876367444
1,repr,107,3,38,0.12306897976042952,1194.9904761904759,27.723356009070294,-0.833706822916497
1,repr,113,1,25,0.17307461971493598,952.927536231884,22.597222222222218,0.34912308374733936
1,repr,113,2,25,0.20803443328550936,744.3823529411761,19.88888888888889,1.0080119541113435
1,repr,113,3,24,0.19815521167205682,823.642105263158,19.800000000000004,1.6944585667631928
2,repr,201,1,28,0.15571083505866126,809.6503623188407,21.618055555555554,0.46805058731682747
2,repr,201,2,35,0.14290734964635607,917.751633986928,22.67901234567901,-0.19504904514357824
2,repr,201,3,38,0.13160361071375737,824.421052631579,22.6,-0.47615985230181135
2,repr,207,1,26,0.16757810384969407,1148.3894927536232,27.447916666666668,-0.6186707445202191
2,repr,207,2,28,0.17753564702717242,1348.014285714286,31.306122448979586,-1.0860089212611166
2,repr,207,3,28,0.17128810226155342,1171.8333333333335,29.492063492063487,-1.094733257703996
2,repr,213,1,40,0.10385093167701856,1371.7807971014495,32.635416666666664,-1.5395215804095466
2,repr,213,2,32,0.15296289739244795,1275.8394736842108,31.439999999999998,-1.39194757189756
2,repr,213,3,50,0.0857240892887779,1055.3131578947368,27.860000000000003,-1.330512137000028
3,repr,301,1,27,0.1611097911881946,830.195652173913,22.875,-0.36384010663150645
3,repr,301,2,30,0.17229621051277097,1098.2222222222222,26.842105263157894,-0.7373257222059988
3,repr,301,3,30,0.1853180296508848,1102.8104575163397,27.864197530864196,-1.0929884803001286
3,repr,307,1,34,0.12697864104513723,817.5489130434781,22.354166666666668,-0.08867342827708136
3,repr,307,2,45,0.12068473609129812,618.4044117647059,17.674740484429066,0.5431364546703152
3,repr,307,3,40,0.1178569443672538,872.6210526315791,22.419999999999998,-0.4099754204878261
3,repr,313,1,32,0.13586558369167073,700.6503623188407,20.052083333333332,0.5722905825793148
3,repr,313,2,35,0.1413348141096833,426.3625730994152,14.642659279778394,0.902103967363793
3,repr,313,3,36,0.13394362240119886,613.3263157894738,16.759999999999998,0.9188652917141158
3,repr,319,1,30,0.14494406160659706,485.98369565217405,16.072916666666668,1.5535694706228913
3,repr,319,2,32,0.1648170854739325,685.5789473684212,21.0,-0.3239369682135922
3,repr,319,3,35,0.14501333333333336,812.1619047619048,22.43083900226757,-0.4265787727169683
1,segr,102,1,20,0.20807453416149074,632.0217391304349,18.875,1.447050481485582
1,segr,102,2,16,0.2529716046665198,614.2252964426879,19.531190926275993,-0.1402119309834351
1,segr,102,3,22,0.2011169235119468,661.786561264822,19.28166351606805,0.47085207973825494
1,segr,108,1,20,0.20807453416149074,798.7807971014493,18.569444444444446,2.142198139682785
1,segr,108,2,21,0.21933918811029895,1177.6842105263158,25.2,-0.012822679286722316
1,segr,108,3,20,0.21226053639846754,1117.4567099567098,24.983471074380166,0.32763358829173983
1,segr,114,1,22,0.19231903722494248,848.695652173913,22.833333333333332,0.3902359811710565
1,segr,114,2,17,0.30089774802191105,1045.9338235294117,27.217993079584772,-0.8068159466593752
1,segr,114,3,20,0.2775757575757576,1231.4291666666666,29.6796875,-1.0256921091719837
2,segr,202,1,31,0.14001583377764854,528.4764492753624,18.350694444444446,-0.8081485264539476
2,segr,202,2,36,0.12325085965331004,610.069264069264,18.818181818181817,-0.010320761991083227
2,segr,202,3,40,0.10978576615831522,650.2619047619047,18.675736961451246,0.08845499031217896
