sid,age,gender, race,education,religion,politics,income,percentile,tax,award_satisfied,award_dist_fair,result_satisfied,result_dist_fair,rationale,group_feel,network_type,group,status,batch
1001,40.0,F,W,BA,NR,-2.0,6.0,8.0,30.0,-1.0,-1.0,-1.0,-1.0,I was trying to increase my final score.,They seem to have come up with a reasonable tax rate in the end.,repr,1,P,1
1002,23.0,O,W,AS,NR,-2.0,4.0,35.0,5.0,-2.0,-2.0,-1.0,-2.0,"I was poor.  The higher the tax percentage was, the more points that people who started off ""rich"" had to pay in, which lead to a higher revenue, and in turn more points redistributed evenly to me.","I hope that the fellow people who started out poor weren't dumb and realized that even if they had to pay in every point they had, they would still come out with more points once re-distributed.",repr,1,P,1
1003,43.0,M,W,BA,NR,-1.0,4.0,65.0,25.0,2.0,-1.0,1.0,0.0,Maximizing my own,They were doing the same,repr,1,R,1
1004,40.0,F,W,BA,PR,-1.0,3.0,75.0,10.0,1.0,0.0,1.0,1.0,I wanted to maximize profit for as many people as possible,Everyone has different strategies.,repr,1,R,1
1005,,,,,,,,,,,,,,,,repr,1,P,1
1006,,,,,,,,,,,,,,,,repr,1,P,1
1007,25.0,F,H,BA,NR,-2.0,3.0,40.0,20.0,-1.0,-1.0,-1.0,0.0,I felt more inclined to tax at a higher rate to tax the participants with more money,"I feel neutral towards them, I’m sure they did what they felt was best for themselves",repr,1,P,1
1008,52.0,M,W,HS,O,2.0,5.0,50.0,0.0,1.0,1.0,1.0,1.0,I'm not sure what's actually fair or not,I think they did fine,repr,1,R,1
1009,38.0,M,W,BA,CA,-2.0,5.0,22.0,5.0,2.0,-1.0,2.0,1.0,"Usually in these things I try to be fair for everyone. I’m not going to lie, I went to maximize my own personal income for once.",Don’t blame anyone for putting a high tax rate or maximize their gains.,repr,1,R,1
1010,64.0,M,W,BA,PR,-1.0,4.0,30.0,33.0,2.0,2.0,1.0,1.0,"I initially voted for a higher percentage, but when the median was too high, I reduced my vote in order to attempt to bring the tax rate lower.","I can understand their decisions, especially if they were allocated a lower amount. Technically, if my amount was low I too would have voted for a tax rate of 30% to 36%. You know the tax rate used to be much higher in the U.S. and the country seemed to do OK. Also, those with a high earning are in a sense benefitting from being in America more than somebody who is poor working at minimum wage, so they should pay more.",repr,1,R,1
1011,39.0,F,W,BA,PR,0.0,5.0,30.0,20.0,2.0,0.0,1.0,1.0,"I felt good about it.  I went down, but not a ton",fine. I didn't look too closely or dwell on the others.,repr,1,R,1
1012,31.0,F,W,BA,NR,-1.0,6.0,15.0,5.0,-2.0,-2.0,0.0,1.0,"I tried to look at what would be overall beneficial for the most people, once everything was distributed it would be more fair.",I think it could have been higher but I'm not upset about it.,repr,1,P,1
1013,,,,,,,,,,,,,,,,repr,1,P,1
