batch,network_type,group,round,pid,sid,status,award,vote,median_vote,tax_benefit,score
1,repr,101,1,0,1001,P,19,70,,,19.0
1,repr,101,1,1,1002,P,18,95,,,18.0
1,repr,101,1,2,1003,R,180,7,,,180.0
1,repr,101,1,3,1004,R,190,8,,,190.0
1,repr,101,1,4,1005,P,22,100,,,22.0
1,repr,101,1,5,1006,P,22,60,,,22.0
1,repr,101,1,6,1007,P,21,31,,,21.0
1,repr,101,1,7,1008,R,185,25,,,185.0
1,repr,101,1,8,1009,R,210,1,,,210.0
1,repr,101,1,9,1010,R,200,12,,,200.0
1,repr,101,1,10,1011,R,220,33,,,220.0
1,repr,101,1,11,1012,P,20,40,,,20.0
1,repr,101,1,12,1013,P,21,25,,,21.0
1,repr,101,1,13,1014,P,19,10,,,19.0
1,repr,101,1,14,1015,P,19,10,,,19.0
1,repr,101,1,15,1016,P,18,17,,,18.0
1,repr,101,1,16,1017,P,20,24,,,20.0
1,repr,101,1,17,1018,R,195,20,,,195.0
1,repr,101,1,18,1019,P,22,100,,,22.0
1,repr,101,1,19,1020,P,20,14,,,20.0
1,repr,101,1,20,1021,R,215,25,,,215.0
1,repr,101,1,21,1022,R,205,40,,,205.0
1,repr,101,1,22,1023,P,18,30,,,18.0
1,repr,101,1,23,1024,P,21,7,,,21.0
1,repr,101,2,0,1001,P,19,80,25.0,22.0,36.0
1,repr,101,2,1,1002,P,18,100,25.0,22.0,36.0
1,repr,101,2,2,1003,R,180,7,25.0,22.0,157.0
1,repr,101,2,3,1004,R,190,50,25.0,22.0,164.0
1,repr,101,2,6,1007,P,21,32,25.0,22.0,38.0
1,repr,101,2,8,1009,R,210,1,25.0,22.0,180.0
1,repr,101,2,9,1010,R,200,6,25.0,22.0,172.0
1,repr,101,2,10,1011,R,220,27,25.0,22.0,187.0
1,repr,101,2,12,1013,P,21,40,25.0,22.0,38.0
1,repr,101,2,13,1014,P,19,35,25.0,22.0,36.0
1,repr,101,2,14,1015,P,19,10,25.0,22.0,36.0
1,repr,101,2,15,1016,P,18,20,25.0,22.0,36.0
1,repr,101,2,18,1019,P,22,100,25.0,22.0,38.0
1,repr,101,2,19,1020,P,20,8,25.0,22.0,37.0
1,repr,101,2,20,1021,R,215,25,25.0,22.0,183.0
1,repr,101,2,22,1023,P,18,87,25.0,22.0,36.0
1,repr,101,3,0,1001,P,19,100,30.0,26.0,39.0
1,repr,101,3,1,1002,P,18,100,30.0,26.0,39.0
1,repr,101,3,2,1003,R,180,7,30.0,26.0,152.0
1,repr,101,3,3,1004,R,190,85,30.0,26.0,159.0
1,repr,101,3,8,1009,R,210,5,30.0,26.0,173.0
1,repr,101,3,9,1010,R,200,2,30.0,26.0,166.0
1,repr,101,3,10,1011,R,220,25,30.0,26.0,180.0
1,repr,101,3,11,1012,P,20,41,30.0,26.0,40.0
1,repr,101,3,13,1014,P,19,100,30.0,26.0,39.0
1,repr,101,3,14,1015,P,19,10,30.0,26.0,39.0
1,repr,101,3,18,1019,P,22,100,30.0,26.0,41.0
1,repr,101,3,19,1020,P,20,5,30.0,26.0,40.0
1,repr,101,3,20,1021,R,215,30,30.0,26.0,177.0
1,repr,107,1,0,1145,P,18,22,,,18.0
1,repr,107,1,1,1146,P,19,100,,,19.0
1,repr,107,1,2,1147,P,18,10,,,18.0
1,repr,107,1,3,1148,R,195,32,,,195.0
1,repr,107,1,4,1149,P,19,15,,,19.0
1,repr,107,1,5,1150,R,185,54,,,185.0
1,repr,107,1,6,1151,R,180,25,,,180.0
1,repr,107,1,7,1152,R,215,20,,,215.0
1,repr,107,1,8,1153,P,21,24,,,21.0
1,repr,107,1,9,1154,P,20,100,,,20.0
1,repr,107,1,10,1155,P,22,100,,,22.0
1,repr,107,1,11,1156,P,20,82,,,20.0
1,repr,107,1,12,1157,P,20,5,,,20.0
1,repr,107,1,13,1158,R,210,70,,,210.0
1,repr,107,1,14,1159,P,21,20,,,21.0
1,repr,107,1,15,1160,R,190,3,,,190.0
1,repr,107,1,16,1161,P,22,4,,,22.0
1,repr,107,1,17,1162,P,21,12,,,21.0
1,repr,107,1,18,1163,P,22,30,,,22.0
1,repr,107,1,19,1164,P,18,50,,,18.0
1,repr,107,1,20,1165,R,220,10,,,220.0
1,repr,107,1,21,1166,R,200,50,,,200.0
1,repr,107,1,22,1167,P,19,100,,,19.0
1,repr,107,1,23,1168,R,205,5,,,205.0
1,repr,107,2,0,1145,P,18,22,24.0,21.0,35.0
1,repr,107,2,2,1147,P,18,10,24.0,21.0,35.0
1,repr,107,2,3,1148,R,195,25,24.0,21.0,169.0
1,repr,107,2,4,1149,P,19,18,24.0,21.0,35.0
1,repr,107,2,5,1150,R,185,45,24.0,21.0,162.0
1,repr,107,2,6,1151,R,180,25,24.0,21.0,158.0
1,repr,107,2,7,1152,R,215,20,24.0,21.0,184.0
1,repr,107,2,8,1153,P,21,24,24.0,21.0,37.0
1,repr,107,2,9,1154,P,20,100,24.0,21.0,36.0
1,repr,107,2,10,1155,P,22,100,24.0,21.0,38.0
1,repr,107,2,11,1156,P,20,82,24.0,21.0,36.0
1,repr,107,2,12,1157,P,20,8,24.0,21.0,36.0
1,repr,107,2,14,1159,P,21,40,24.0,21.0,37.0
1,repr,107,2,15,1160,R,190,3,24.0,21.0,165.0
1,repr,107,2,17,1162,P,21,12,24.0,21.0,37.0
1,repr,107,2,18,1163,P,22,30,24.0,21.0,38.0
1,repr,107,2,19,1164,P,18,75,24.0,21.0,35.0
1,repr,107,2,20,1165,R,220,7,24.0,21.0,188.0
1,repr,107,2,21,1166,R,200,50,24.0,21.0,173.0
1,repr,107,2,22,1167,P,19,100,24.0,21.0,35.0
1,repr,107,2,23,1168,R,205,1,24.0,21.0,177.0
1,repr,107,3,0,1145,P,18,22,25.0,22.0,36.0
1,repr,107,3,2,1147,P,18,5,25.0,22.0,36.0
1,repr,107,3,3,1148,R,195,25,25.0,22.0,168.0
1,repr,107,3,4,1149,P,19,20,25.0,22.0,36.0
1,repr,107,3,5,1150,R,185,41,25.0,22.0,161.0
1,repr,107,3,6,1151,R,180,6,25.0,22.0,157.0
1,repr,107,3,7,1152,R,215,20,25.0,22.0,183.0
1,repr,107,3,8,1153,P,21,38,25.0,22.0,38.0
1,repr,107,3,9,1154,P,20,100,25.0,22.0,37.0
1,repr,107,3,10,1155,P,22,100,25.0,22.0,38.0
1,repr,107,3,11,1156,P,20,100,25.0,22.0,37.0
1,repr,107,3,12,1157,P,20,41,25.0,22.0,37.0
1,repr,107,3,14,1159,P,21,70,25.0,22.0,38.0
1,repr,107,3,15,1160,R,190,3,25.0,22.0,164.0
1,repr,107,3,17,1162,P,21,17,25.0,22.0,38.0
1,repr,107,3,18,1163,P,22,51,25.0,22.0,38.0
1,repr,107,3,19,1164,P,18,50,25.0,22.0,36.0
1,repr,107,3,20,1165,R,220,6,25.0,22.0,187.0
1,repr,107,3,21,1166,R,200,50,25.0,22.0,172.0
1,repr,107,3,22,1167,P,19,100,25.0,22.0,36.0
1,repr,107,3,23,1168,R,205,1,25.0,22.0,176.0
1,repr,113,1,0,1289,P,19,50,,,19.0
1,repr,113,1,1,1290,P,21,100,,,21.0
1,repr,113,1,2,1291,R,210,15,,,210.0
1,repr,113,1,3,1292,P,18,13,,,18.0
1,repr,113,1,4,1293,P,22,26,,,22.0
1,repr,113,1,5,1294,P,22,25,,,22.0
1,repr,113,1,6,1295,R,200,10,,,200.0
1,repr,113,1,7,1296,R,190,100,,,190.0
1,repr,113,1,8,1297,P,21,33,,,21.0
1,repr,113,1,9,1298,P,20,30,,,20.0
1,repr,113,1,10,1299,P,22,21,,,22.0
1,repr,113,1,11,1300,P,20,30,,,20.0
1,repr,113,1,12,1301,R,220,0,,,220.0
1,repr,113,1,13,1302,P,19,88,,,19.0
1,repr,113,1,14,1303,P,20,42,,,20.0
1,repr,113,1,15,1304,R,185,1,,,185.0
1,repr,113,1,16,1305,R,195,100,,,195.0
1,repr,113,1,17,1306,R,180,35,,,180.0
1,repr,113,1,18,1307,R,205,2,,,205.0
1,repr,113,1,19,1308,P,21,20,,,21.0
1,repr,113,1,20,1309,P,19,25,,,19.0
1,repr,113,1,21,1310,R,215,20,,,215.0
1,repr,113,1,22,1311,P,18,25,,,18.0
1,repr,113,1,23,1312,P,18,25,,,18.0
1,repr,113,2,0,1289,P,19,80,25.0,22.0,36.0
1,repr,113,2,1,1290,P,21,100,25.0,22.0,38.0
