batch,network_type,group,pid,sid,status,award,turnout2,turnout2_frac,turnout3,turnout3_frac,p_time_taken,p_total_approvals,p_age,p_sex,p_ethnicity,p_country_of_birth,p_language,p_student_status,p_employment_status
1,repr,101,0,1001,P,19,2,1.0,3,1.0,290.0,1043,40,Female,White,United States,English,No,Part-Time
1,repr,101,1,1002,P,18,2,1.0,3,1.0,204.0,1993,23,Male,White,United States,English,No,Full-Time
1,repr,101,2,1003,R,180,2,1.0,3,1.0,90.0,2539,43,Male,White,United States,English,DATA_EXPIRED,Full-Time
1,repr,101,3,1004,R,190,2,1.0,3,1.0,290.0,58,40,Female,White,United States,English,No,Full-Time
1,repr,101,4,1005,P,22,0,0.0,0,0.0,158.0,1062,30,Female,White,United States,English,No,Full-Time
1,repr,101,5,1006,P,22,0,0.0,0,0.0,118.0,4225,31,Male,Asian,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,101,6,1007,P,21,1,0.5,2,0.6666666666666666,228.0,1249,25,Female,Other,United States,Spanish,No,Part-Time
1,repr,101,7,1008,R,185,0,0.0,1,0.3333333333333333,191.0,720,52,Male,White,United States,English,No,Full-Time
1,repr,101,8,1009,R,210,2,1.0,3,1.0,399.0,686,38,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,101,9,1010,R,200,2,1.0,3,1.0,179.0,2829,64,Male,White,United States,English,No,DATA_EXPIRED
1,repr,101,10,1011,R,220,2,1.0,3,1.0,118.0,815,39,Female,White,United States,English,No,Full-Time
1,repr,101,11,1012,P,20,1,0.5,2,0.6666666666666666,193.0,6797,31,Female,White,United States,English,DATA_EXPIRED,Full-Time
1,repr,101,12,1013,P,21,1,0.5,1,0.3333333333333333,346.0,17,42,Male,Mixed,United States,English,No,DATA_EXPIRED
1,repr,101,13,1014,P,19,2,1.0,3,1.0,212.0,1183,39,Male,White,United States,English,No,DATA_EXPIRED
1,repr,101,14,1015,P,19,2,1.0,3,1.0,278.0,2828,54,Female,White,United States,English,No,Part-Time
1,repr,101,15,1016,P,18,1,0.5,1,0.3333333333333333,199.0,74,26,Female,White,United States,English,No,DATA_EXPIRED
1,repr,101,16,1017,P,20,0,0.0,0,0.0,125.0,333,30,Female,White,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1,repr,101,17,1018,R,195,0,0.0,0,0.0,198.0,818,35,Male,Other,United States,English,No,DATA_EXPIRED
1,repr,101,18,1019,P,22,2,1.0,3,1.0,287.0,1844,68,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,101,19,1020,P,20,2,1.0,3,1.0,818.0,1998,31,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,101,20,1021,R,215,2,1.0,3,1.0,239.0,3813,38,Male,White,United States,English,No,Full-Time
1,repr,101,21,1022,R,205,0,0.0,0,0.0,50.0,532,25,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,101,22,1023,P,18,1,0.5,1,0.3333333333333333,172.0,1005,33,Male,White,United States,English,No,Unemployed (and job seeking)
1,repr,101,23,1024,P,21,0,0.0,0,0.0,166.0,1720,27,Male,Other,United States,English,DATA_EXPIRED,Full-Time
1,repr,107,0,1145,P,18,2,1.0,3,1.0,177.0,4729,40,Female,White,United States,English,No,Full-Time
1,repr,107,1,1146,P,19,0,0.0,0,0.0,135.0,266,33,Female,Asian,United States,English,No,DATA_EXPIRED
1,repr,107,2,1147,P,18,2,1.0,3,1.0,237.0,4056,49,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,3,1148,R,195,2,1.0,3,1.0,263.0,1731,33,Male,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1,repr,107,4,1149,P,19,2,1.0,3,1.0,134.0,2108,29,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,5,1150,R,185,2,1.0,3,1.0,59.0,133,40,Male,White,United States,English,No,Full-Time
1,repr,107,6,1151,R,180,2,1.0,3,1.0,182.0,504,31,Female,Mixed,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1,repr,107,7,1152,R,215,2,1.0,3,1.0,1077.0,368,52,Female,Asian,Lao People's Democratic Republic,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1,repr,107,8,1153,P,21,2,1.0,3,1.0,240.0,4224,31,Male,White,United Kingdom,English,Yes,Full-Time
1,repr,107,9,1154,P,20,2,1.0,3,1.0,131.0,904,26,Male,White,United States,English,No,Full-Time
1,repr,107,10,1155,P,22,2,1.0,3,1.0,221.0,2187,38,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,11,1156,P,20,2,1.0,3,1.0,176.0,1,32,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,12,1157,P,20,2,1.0,3,1.0,167.0,5962,42,Female,White,United States,English,No,Full-Time
1,repr,107,13,1158,R,210,0,0.0,0,0.0,154.0,1362,26,Male,Asian,United States,English,Yes,Full-Time
1,repr,107,14,1159,P,21,2,1.0,3,1.0,114.0,2196,28,Female,Black,United States,English,No,Full-Time
1,repr,107,15,1160,R,190,2,1.0,3,1.0,155.0,4648,49,Male,White,Romania,English,No,Full-Time
1,repr,107,16,1161,P,22,0,0.0,0,0.0,213.0,4343,44,Female,White,United States,English,DATA_EXPIRED,Part-Time
1,repr,107,17,1162,P,21,2,1.0,3,1.0,279.0,574,44,Female,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,18,1163,P,22,2,1.0,3,1.0,359.0,6,30,Male,Other,United States,English,No,Unemployed (and job seeking)
1,repr,107,19,1164,P,18,2,1.0,3,1.0,144.0,202,22,Male,White,United States,English,Yes,DATA_EXPIRED
1,repr,107,20,1165,R,220,2,1.0,3,1.0,991.0,3719,31,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,21,1166,R,200,2,1.0,3,1.0,161.0,624,40,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,22,1167,P,19,2,1.0,3,1.0,319.0,1092,23,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,107,23,1168,R,205,2,1.0,3,1.0,341.0,5515,54,Male,White,United States,English,No,DATA_EXPIRED
1,repr,113,0,1289,P,19,2,1.0,3,1.0,871.0,458,27,Male,White,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1,repr,113,1,1290,P,21,2,1.0,3,1.0,221.0,1627,51,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,2,1291,R,210,1,0.5,2,0.6666666666666666,123.0,3483,37,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,3,1292,P,18,1,0.5,1,0.3333333333333333,898.0,839,32,Male,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,4,1293,P,22,1,0.5,1,0.3333333333333333,692.0,1839,29,Male,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,5,1294,P,22,2,1.0,3,1.0,129.0,237,27,Female,White,United States,English,Yes,Full-Time
1,repr,113,6,1295,R,200,2,1.0,3,1.0,162.0,3663,21,Female,White,United States,English,Yes,DATA_EXPIRED
1,repr,113,7,1296,R,190,0,0.0,0,0.0,213.0,126,44,Male,Other,United States,English,No,Full-Time
1,repr,113,8,1297,P,21,2,1.0,3,1.0,304.0,1798,35,Female,Black,United States,English,Yes,Other
1,repr,113,9,1298,P,20,0,0.0,0,0.0,156.0,28,53,Female,White,United States,English,No,Full-Time
1,repr,113,10,1299,P,22,2,1.0,3,1.0,159.0,3192,32,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,11,1300,P,20,2,1.0,3,1.0,227.0,71,29,Male,Mixed,United States,English,No,DATA_EXPIRED
1,repr,113,12,1301,R,220,2,1.0,3,1.0,735.0,1921,38,Male,White,United States,English,No,Full-Time
1,repr,113,13,1302,P,19,0,0.0,0,0.0,210.0,1020,42,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,14,1303,P,20,2,1.0,3,1.0,253.0,4845,35,Female,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,15,1304,R,185,2,1.0,3,1.0,276.0,4080,47,Female,White,United States,English,No,Part-Time
1,repr,113,16,1305,R,195,2,1.0,3,1.0,191.0,2171,54,Male,Asian,United States,English,No,Full-Time
1,repr,113,17,1306,R,180,2,1.0,3,1.0,213.0,2173,61,Female,White,United States,English,No,Full-Time
1,repr,113,18,1307,R,205,2,1.0,3,1.0,176.0,817,30,Female,White,United States,English,No,DATA_EXPIRED
1,repr,113,19,1308,P,21,2,1.0,3,1.0,322.0,2936,78,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,repr,113,20,1309,P,19,1,0.5,2,0.6666666666666666,104.0,183,26,Female,White,United States,English,No,Part-Time
1,repr,113,21,1310,R,215,2,1.0,3,1.0,109.0,410,31,Female,White,United States,English,No,Full-Time
1,repr,113,22,1311,P,18,2,1.0,2,0.6666666666666666,363.0,218,33,Female,White,United States,English,No,Full-Time
1,repr,113,23,1312,P,18,2,1.0,3,1.0,276.0,3511,35,Male,White,United States,English,No,Full-Time
2,repr,201,0,2001,P,22,1,0.5,2,0.6666666666666666,211.0,6201,61,Female,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,repr,201,1,2002,R,220,2,1.0,3,1.0,284.0,5363,46,Female,White,United States,English,No,Full-Time
2,repr,201,2,2003,R,190,1,0.5,2,0.6666666666666666,151.0,1649,44,Male,White,United States,English,No,Full-Time
2,repr,201,3,2004,P,18,2,1.0,3,1.0,972.0,175,61,Female,Black,United States,English,No,Unemployed (and job seeking)
2,repr,201,4,2005,P,18,2,1.0,3,1.0,248.0,7,52,Female,White,United States,English,No,DATA_EXPIRED
2,repr,201,5,2006,R,200,2,1.0,3,1.0,280.0,2240,32,Female,Mixed,United States,English,No,Part-Time
2,repr,201,6,2007,R,215,2,1.0,3,1.0,277.0,1941,43,Female,White,United States,English,No,Full-Time
2,repr,201,7,2008,P,21,2,1.0,3,1.0,180.0,2897,29,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,201,8,2009,P,19,1,0.5,2,0.6666666666666666,281.0,4331,67,Female,White,United States,English,No,DATA_EXPIRED
2,repr,201,9,2010,P,19,0,0.0,0,0.0,123.0,300,33,Male,White,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,repr,201,10,2011,P,19,2,1.0,3,1.0,73.0,2108,21,Female,White,United States,English,Yes,Part-Time
2,repr,201,11,2012,P,20,2,1.0,3,1.0,191.0,2084,39,Female,White,United States,English,No,Part-Time
2,repr,201,12,2013,P,22,2,1.0,3,1.0,350.0,236,32,Female,White,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,repr,201,13,2014,R,180,1,0.5,1,0.3333333333333333,2107.0,3307,40,Female,Black,United States,English,DATA_EXPIRED,DATA_EXPIRED
